age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
51.443661971830984,Private,137440.7,Bachelors,12.71875,Separated,Exec-managerial,Not-in-family,White,Female,499.995,24.75,50.53260869565217,United-States,>50K
61.72535211267605,?,152164.90000000002,Bachelors,12.71875,Married-civ-spouse,?,Husband,White,Male,499.995,24.75,39.8804347826087,Philippines,<=50K
37.04929577464789,Private,328855.30000000005,HS-grad,8.96875,Never-married,Other-service,Not-in-family,White,Female,499.995,24.75,37.75,United-States,<=50K
19.570422535211268,Private,19647.1,Some-college,9.90625,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Female,499.995,24.75,15.380434782608697,United-States,<=50K
17.514084507042256,Private,152164.90000000002,10th,6.15625,Never-married,Other-service,Own-child,White,Male,499.995,24.75,30.29347826086957,United-States,<=50K
52.47183098591549,Self-emp-not-inc,166889.1,HS-grad,8.96875,Married-spouse-absent,Sales,Not-in-family,White,Male,5499.945,24.75,50.53260869565217,United-States,<=50K
27.795774647887324,Private,34371.3,HS-grad,8.96875,Divorced,Adm-clerical,Unmarried,White,Female,499.995,24.75,80.35869565217392,United-States,<=50K
17.514084507042256,Private,284682.7,Some-college,9.90625,Never-married,Adm-clerical,Own-child,White,Female,499.995,24.75,24.967391304347828,United-States,<=50K
68.9225352112676,Private,122716.5,5th-6th,3.34375,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Female,499.995,24.75,48.402173913043484,Mexico,<=50K
18.54225352112676,?,49095.5,Some-college,9.90625,Never-married,?,Own-child,White,Female,499.995,24.75,34.55434782608695,United-States,<=50K
36.02112676056338,Private,211061.7,HS-grad,8.96875,Divorced,Other-service,Own-child,White,Female,99499.005,24.75,65.44565217391305,United-States,<=50K
18.54225352112676,Private,696960.3,HS-grad,8.96875,Never-married,Other-service,Own-child,White,Female,499.995,24.75,60.11956521739131,United-States,<=50K
19.570422535211268,Private,225785.90000000002,HS-grad,8.96875,Never-married,Transport-moving,Own-child,White,Male,499.995,24.75,39.8804347826087,United-States,<=50K
