Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,label
23733.53,1422.87462,571.683379663,418.604970335,1.7546107203999999,0.74620154584,93365.375,524.8309812725,0.658024497035,0.9871333527799999,0.7845736023500001,0.954819114455,0.005983484169999999,0.0023161226949999997,0.6928419453100001,0.99788834157,SEKER
182782.97,1491.4348200000002,441.41802089500004,152.278547785,1.3863291435999998,0.72552506416,180583.025,524.8309812725,0.649038735425,0.95712796238,0.75853842791,0.937722348905,0.01011327687,0.000858745285,0.6928419453100001,0.99788834157,SEKER
61286.869999999995,1422.87462,218.88136633300002,352.80667770499997,1.1544481508,0.477407284,240964.47499999998,206.4464992955,0.7149343205650001,0.93087324578,0.8019303853099999,0.941141702015,0.009963102589999998,0.0010758014950000001,0.42487343107,0.98072118123,CALI
145229.63,1491.4348200000002,338.29127853700004,202.41058026500002,1.0726078004,0.6979564219200001,115728.875,497.3162729535,0.756867874745,0.9233718981800001,0.58497059831,0.787270812065,0.008986969769999999,0.002161082545,0.72075533221,0.96979662465,SEKER
182782.97,1422.87462,202.598196487,152.278547785,1.7955308955999998,0.72552506416,171637.625,501.24694557050003,0.7149343205650001,0.9346239195799999,0.7845736023500001,0.7530772809649999,0.006584181289999999,0.0016339460350000001,0.50861359177,0.99788834157,SEKER
149647.66999999998,737.27262,490.267530433,193.01082417499998,1.3999692019999999,0.65660345856,171637.625,501.24694557050003,0.658024497035,0.97063038806,0.6804329045899999,0.7530772809649999,0.00500735135,0.0014478978550000001,0.50861359177,0.98540313405,HOROZ
32569.609999999997,1655.9793000000002,256.875429307,196.14407620499998,1.4408893772,0.40159351784,135856.025,438.3561836985,0.774839397965,0.9923842961,0.9190886702900001,0.906948170915,0.00823609837,0.001354873765,0.84357423457,0.97551901143,DERMASON
191619.05,1422.87462,430.56257433099995,186.744320115,2.0137718299999996,0.7875545092,115728.875,367.60407659249995,0.825758713755,0.9286228415,0.7845736023500001,0.787270812065,0.0068094427099999995,0.0015719299750000001,0.45278681797,0.95471033223,SIRA
32569.609999999997,1655.9793000000002,311.152662127,418.604970335,1.4408893772,0.40159351784,240964.47499999998,316.50533257150005,0.649038735425,0.95712796238,0.87569671289,0.653916040775,0.00823609837,0.0010758014950000001,0.75425139649,0.96875619069,DERMASON
36987.65,1683.40338,609.677442637,202.41058026500002,2.0137718299999996,0.80133883032,173873.97499999998,442.2868563155,0.723920082175,0.92262176342,0.6153449684900001,0.6470773345549999,0.006584181289999999,0.0016959620950000001,0.9328970726500001,0.98540313405,SEKER
